len,state,sum
7,"[2, 2, 4, 8, 64, 64, 256]",400
7,"[4, 4, 8, 32, 32, 64, 256]",400
5,"[2, 8, 8, 128, 256]",402
6,"[2, 4, 4, 8, 128, 256]",402
6,"[2, 8, 8, 64, 64, 256]",402
7,"[2, 4, 4, 8, 64, 64, 256]",402
5,"[2, 2, 16, 128, 256]",404
5,"[4, 8, 8, 128, 256]",404
6,"[2, 2, 8, 8, 128, 256]",404
6,"[4, 4, 4, 8, 128, 256]",404
6,"[4, 8, 8, 64, 64, 256]",404
5,"[2, 4, 16, 128, 256]",406
6,"[2, 4, 8, 8, 128, 256]",406
5,"[4, 4, 16, 128, 256]",408
6,"[2, 2, 4, 16, 128, 256]",408
6,"[4, 4, 8, 8, 128, 256]",408
5,"[2, 8, 16, 128, 256]",410
6,"[2, 4, 4, 16, 128, 256]",410
5,"[4, 8, 16, 128, 256]",412
6,"[2, 2, 8, 16, 128, 256]",412
6,"[4, 4, 4, 16, 128, 256]",412
6,"[2, 4, 8, 16, 128, 256]",414
6,"[4, 4, 8, 16, 128, 256]",416
7,"[2, 2, 4, 8, 16, 128, 256]",416
6,"[2, 8, 8, 16, 128, 256]",418
7,"[2, 4, 4, 8, 16, 128, 256]",418
6,"[2, 2, 16, 16, 128, 256]",420
6,"[4, 8, 8, 16, 128, 256]",420
7,"[2, 2, 8, 8, 16, 128, 256]",420
7,"[4, 4, 4, 8, 16, 128, 256]",420
5,"[2, 4, 32, 128, 256]",422
6,"[2, 4, 16, 16, 128, 256]",422
7,"[2, 4, 8, 8, 16, 128, 256]",422
5,"[4, 4, 32, 128, 256]",424
6,"[2, 2, 4, 32, 128, 256]",424
6,"[4, 4, 16, 16, 128, 256]",424
7,"[2, 2, 4, 16, 16, 128, 256]",424
7,"[4, 4, 8, 8, 16, 128, 256]",424
5,"[2, 8, 32, 128, 256]",426
6,"[2, 4, 4, 32, 128, 256]",426
6,"[2, 8, 16, 16, 128, 256]",426
7,"[2, 4, 4, 16, 16, 128, 256]",426
5,"[4, 8, 32, 128, 256]",428
6,"[2, 2, 8, 32, 128, 256]",428
6,"[4, 4, 4, 32, 128, 256]",428
6,"[4, 8, 16, 16, 128, 256]",428
6,"[2, 4, 8, 32, 128, 256]",430
6,"[4, 4, 8, 32, 128, 256]",432
7,"[2, 2, 4, 8, 32, 128, 256]",432
6,"[2, 8, 8, 32, 128, 256]",434
7,"[2, 4, 4, 8, 32, 128, 256]",434
6,"[2, 2, 16, 32, 128, 256]",436
6,"[4, 8, 8, 32, 128, 256]",436
7,"[2, 2, 8, 8, 32, 128, 256]",436
7,"[4, 4, 4, 8, 32, 128, 256]",436
6,"[2, 4, 16, 32, 128, 256]",438
7,"[2, 4, 8, 8, 32, 128, 256]",438
6,"[4, 4, 16, 32, 128, 256]",440
7,"[2, 2, 4, 16, 32, 128, 256]",440
7,"[4, 4, 8, 8, 32, 128, 256]",440
6,"[2, 8, 16, 32, 128, 256]",442
7,"[2, 4, 4, 16, 32, 128, 256]",442
6,"[4, 8, 16, 32, 128, 256]",444
7,"[2, 2, 8, 16, 32, 128, 256]",444
7,"[4, 4, 4, 16, 32, 128, 256]",444
7,"[2, 4, 8, 16, 32, 128, 256]",446
7,"[4, 4, 8, 16, 32, 128, 256]",448
8,"[2, 2, 4, 8, 16, 32, 128, 256]",448
7,"[2, 8, 8, 16, 32, 128, 256]",450
8,"[2, 4, 4, 8, 16, 32, 128, 256]",450
7,"[2, 2, 16, 16, 32, 128, 256]",452
7,"[4, 8, 8, 16, 32, 128, 256]",452
8,"[2, 2, 8, 8, 16, 32, 128, 256]",452
8,"[4, 4, 4, 8, 16, 32, 128, 256]",452
6,"[2, 4, 32, 32, 128, 256]",454
7,"[2, 4, 16, 16, 32, 128, 256]",454
8,"[2, 4, 8, 8, 16, 32, 128, 256]",454
6,"[2, 2, 4, 64, 128, 256]",456
6,"[4, 4, 32, 32, 128, 256]",456
7,"[2, 2, 4, 32, 32, 128, 256]",456
7,"[4, 4, 16, 16, 32, 128, 256]",456
8,"[2, 2, 4, 16, 16, 32, 128, 256]",456
8,"[4, 4, 8, 8, 16, 32, 128, 256]",456
5,"[2, 8, 64, 128, 256]",458
6,"[2, 4, 4, 64, 128, 256]",458
6,"[2, 8, 32, 32, 128, 256]",458
7,"[2, 4, 4, 32, 32, 128, 256]",458
7,"[2, 8, 16, 16, 32, 128, 256]",458
8,"[2, 4, 4, 16, 16, 32, 128, 256]",458
5,"[4, 8, 64, 128, 256]",460
6,"[2, 2, 8, 64, 128, 256]",460
6,"[4, 4, 4, 64, 128, 256]",460
6,"[4, 8, 32, 32, 128, 256]",460
7,"[2, 2, 8, 32, 32, 128, 256]",460
7,"[4, 4, 4, 32, 32, 128, 256]",460
7,"[4, 8, 16, 16, 32, 128, 256]",460
6,"[2, 4, 8, 64, 128, 256]",462
7,"[2, 4, 8, 32, 32, 128, 256]",462
6,"[4, 4, 8, 64, 128, 256]",464
7,"[2, 2, 4, 8, 64, 128, 256]",464
7,"[4, 4, 8, 32, 32, 128, 256]",464
6,"[2, 8, 8, 64, 128, 256]",466
7,"[2, 4, 4, 8, 64, 128, 256]",466
6,"[2, 2, 16, 64, 128, 256]",468
6,"[4, 8, 8, 64, 128, 256]",468
7,"[2, 2, 8, 8, 64, 128, 256]",468
7,"[4, 4, 4, 8, 64, 128, 256]",468
6,"[2, 4, 16, 64, 128, 256]",470
7,"[2, 4, 8, 8, 64, 128, 256]",470
6,"[4, 4, 16, 64, 128, 256]",472
7,"[2, 2, 4, 16, 64, 128, 256]",472
7,"[4, 4, 8, 8, 64, 128, 256]",472
6,"[2, 8, 16, 64, 128, 256]",474
7,"[2, 4, 4, 16, 64, 128, 256]",474
6,"[4, 8, 16, 64, 128, 256]",476
7,"[2, 2, 8, 16, 64, 128, 256]",476
7,"[4, 4, 4, 16, 64, 128, 256]",476
7,"[2, 4, 8, 16, 64, 128, 256]",478
7,"[4, 4, 8, 16, 64, 128, 256]",480
8,"[2, 2, 4, 8, 16, 64, 128, 256]",480
7,"[2, 8, 8, 16, 64, 128, 256]",482
8,"[2, 4, 4, 8, 16, 64, 128, 256]",482
7,"[2, 2, 16, 16, 64, 128, 256]",484
7,"[4, 8, 8, 16, 64, 128, 256]",484
8,"[2, 2, 8, 8, 16, 64, 128, 256]",484
8,"[4, 4, 4, 8, 16, 64, 128, 256]",484
6,"[2, 4, 32, 64, 128, 256]",486
7,"[2, 4, 16, 16, 64, 128, 256]",486
8,"[2, 4, 8, 8, 16, 64, 128, 256]",486
6,"[4, 4, 32, 64, 128, 256]",488
7,"[2, 2, 4, 32, 64, 128, 256]",488
7,"[4, 4, 16, 16, 64, 128, 256]",488
8,"[2, 2, 4, 16, 16, 64, 128, 256]",488
8,"[4, 4, 8, 8, 16, 64, 128, 256]",488
6,"[2, 8, 32, 64, 128, 256]",490
7,"[2, 4, 4, 32, 64, 128, 256]",490
7,"[2, 8, 16, 16, 64, 128, 256]",490
8,"[2, 4, 4, 16, 16, 64, 128, 256]",490
6,"[4, 8, 32, 64, 128, 256]",492
7,"[2, 2, 8, 32, 64, 128, 256]",492
7,"[4, 4, 4, 32, 64, 128, 256]",492
7,"[4, 8, 16, 16, 64, 128, 256]",492
7,"[2, 4, 8, 32, 64, 128, 256]",494
7,"[4, 4, 8, 32, 64, 128, 256]",496
8,"[2, 2, 4, 8, 32, 64, 128, 256]",496
7,"[2, 8, 8, 32, 64, 128, 256]",498
8,"[2, 4, 4, 8, 32, 64, 128, 256]",498
7,"[2, 2, 16, 32, 64, 128, 256]",500
7,"[4, 8, 8, 32, 64, 128, 256]",500
8,"[2, 2, 8, 8, 32, 64, 128, 256]",500
8,"[4, 4, 4, 8, 32, 64, 128, 256]",500
7,"[2, 4, 16, 32, 64, 128, 256]",502
8,"[2, 4, 8, 8, 32, 64, 128, 256]",502
7,"[4, 4, 16, 32, 64, 128, 256]",504
8,"[2, 2, 4, 16, 32, 64, 128, 256]",504
8,"[4, 4, 8, 8, 32, 64, 128, 256]",504
7,"[2, 8, 16, 32, 64, 128, 256]",506
8,"[2, 4, 4, 16, 32, 64, 128, 256]",506
7,"[4, 8, 16, 32, 64, 128, 256]",508
8,"[2, 2, 8, 16, 32, 64, 128, 256]",508
8,"[4, 4, 4, 16, 32, 64, 128, 256]",508
8,"[2, 4, 8, 16, 32, 64, 128, 256]",510
8,"[4, 4, 8, 16, 32, 64, 128, 256]",512
9,"[2, 2, 4, 8, 16, 32, 64, 128, 256]",512
8,"[2, 8, 8, 16, 32, 64, 128, 256]",514
9,"[2, 4, 4, 8, 16, 32, 64, 128, 256]",514
8,"[2, 2, 16, 16, 32, 64, 128, 256]",516
8,"[4, 8, 8, 16, 32, 64, 128, 256]",516
9,"[2, 2, 8, 8, 16, 32, 64, 128, 256]",516
9,"[4, 4, 4, 8, 16, 32, 64, 128, 256]",516
7,"[2, 4, 32, 32, 64, 128, 256]",518
8,"[2, 4, 16, 16, 32, 64, 128, 256]",518
9,"[2, 4, 8, 8, 16, 32, 64, 128, 256]",518
7,"[2, 2, 4, 64, 64, 128, 256]",520
7,"[4, 4, 32, 32, 64, 128, 256]",520
8,"[2, 2, 4, 32, 32, 64, 128, 256]",520
8,"[4, 4, 16, 16, 32, 64, 128, 256]",520
9,"[2, 2, 4, 16, 16, 32, 64, 128, 256]",520
9,"[4, 4, 8, 8, 16, 32, 64, 128, 256]",520
6,"[2, 4, 4, 128, 128, 256]",522
6,"[2, 8, 64, 64, 128, 256]",522
7,"[2, 4, 4, 64, 64, 128, 256]",522
7,"[2, 8, 32, 32, 64, 128, 256]",522
8,"[2, 4, 4, 32, 32, 64, 128, 256]",522
8,"[2, 8, 16, 16, 32, 64, 128, 256]",522
9,"[2, 4, 4, 16, 16, 32, 64, 128, 256]",522
5,"[2, 2, 8, 256, 256]",524
6,"[2, 2, 8, 128, 128, 256]",524
6,"[4, 4, 4, 128, 128, 256]",524
6,"[4, 8, 64, 64, 128, 256]",524
7,"[2, 2, 8, 64, 64, 128, 256]",524
7,"[4, 4, 4, 64, 64, 128, 256]",524
7,"[4, 8, 32, 32, 64, 128, 256]",524
8,"[2, 2, 8, 32, 32, 64, 128, 256]",524
8,"[4, 4, 4, 32, 32, 64, 128, 256]",524
8,"[4, 8, 16, 16, 32, 64, 128, 256]",524
4,"[2, 4, 8, 512]",526
5,"[2, 4, 8, 256, 256]",526
6,"[2, 4, 8, 128, 128, 256]",526
7,"[2, 4, 8, 64, 64, 128, 256]",526
8,"[2, 4, 8, 32, 32, 64, 128, 256]",526
4,"[4, 4, 8, 512]",528
5,"[2, 2, 4, 8, 512]",528
5,"[4, 4, 8, 256, 256]",528
6,"[2, 2, 4, 8, 256, 256]",528
6,"[4, 4, 8, 128, 128, 256]",528
7,"[2, 2, 4, 8, 128, 128, 256]",528
7,"[4, 4, 8, 64, 64, 128, 256]",528
8,"[2, 2, 4, 8, 64, 64, 128, 256]",528
8,"[4, 4, 8, 32, 32, 64, 128, 256]",528
4,"[2, 8, 8, 512]",530
5,"[2, 4, 4, 8, 512]",530
5,"[2, 8, 8, 256, 256]",530
6,"[2, 4, 4, 8, 256, 256]",530
6,"[2, 8, 8, 128, 128, 256]",530
7,"[2, 4, 4, 8, 128, 128, 256]",530
7,"[2, 8, 8, 64, 64, 128, 256]",530
8,"[2, 4, 4, 8, 64, 64, 128, 256]",530
4,"[2, 2, 16, 512]",532
4,"[4, 8, 8, 512]",532
5,"[2, 2, 8, 8, 512]",532
5,"[2, 2, 16, 256, 256]",532
5,"[4, 4, 4, 8, 512]",532
5,"[4, 8, 8, 256, 256]",532
6,"[2, 2, 8, 8, 256, 256]",532
6,"[2, 2, 16, 128, 128, 256]",532
6,"[4, 4, 4, 8, 256, 256]",532
6,"[4, 8, 8, 128, 128, 256]",532
7,"[2, 2, 8, 8, 128, 128, 256]",532
7,"[4, 4, 4, 8, 128, 128, 256]",532
7,"[4, 8, 8, 64, 64, 128, 256]",532
4,"[2, 4, 16, 512]",534
5,"[2, 4, 8, 8, 512]",534
5,"[2, 4, 16, 256, 256]",534
6,"[2, 4, 8, 8, 256, 256]",534
6,"[2, 4, 16, 128, 128, 256]",534
7,"[2, 4, 8, 8, 128, 128, 256]",534
4,"[4, 4, 16, 512]",536
5,"[2, 2, 4, 16, 512]",536
5,"[4, 4, 8, 8, 512]",536
5,"[4, 4, 16, 256, 256]",536
6,"[2, 2, 4, 16, 256, 256]",536
6,"[4, 4, 8, 8, 256, 256]",536
6,"[4, 4, 16, 128, 128, 256]",536
4,"[2, 8, 16, 512]",538
5,"[2, 4, 4, 16, 512]",538
5,"[2, 8, 16, 256, 256]",538
6,"[2, 4, 4, 16, 256, 256]",538
4,"[4, 8, 16, 512]",540
5,"[2, 2, 8, 16, 512]",540
5,"[4, 4, 4, 16, 512]",540
5,"[4, 8, 16, 256, 256]",540
5,"[2, 4, 8, 16, 512]",542
5,"[4, 4, 8, 16, 512]",544
6,"[2, 2, 4, 8, 16, 512]",544
5,"[2, 8, 8, 16, 512]",546
6,"[2, 4, 4, 8, 16, 512]",546
5,"[2, 2, 16, 16, 512]",548
5,"[4, 8, 8, 16, 512]",548
6,"[2, 2, 8, 8, 16, 512]",548
6,"[4, 4, 4, 8, 16, 512]",548
4,"[2, 4, 32, 512]",550
5,"[2, 4, 16, 16, 512]",550
6,"[2, 4, 8, 8, 16, 512]",550
4,"[4, 4, 32, 512]",552
5,"[2, 2, 4, 32, 512]",552
5,"[4, 4, 16, 16, 512]",552
6,"[2, 2, 4, 16, 16, 512]",552
6,"[4, 4, 8, 8, 16, 512]",552
4,"[2, 8, 32, 512]",554
5,"[2, 4, 4, 32, 512]",554
5,"[2, 8, 16, 16, 512]",554
6,"[2, 4, 4, 16, 16, 512]",554
4,"[4, 8, 32, 512]",556
5,"[2, 2, 8, 32, 512]",556
5,"[4, 4, 4, 32, 512]",556
5,"[4, 8, 16, 16, 512]",556
5,"[2, 4, 8, 32, 512]",558
5,"[4, 4, 8, 32, 512]",560
6,"[2, 2, 4, 8, 32, 512]",560
5,"[2, 8, 8, 32, 512]",562
6,"[2, 4, 4, 8, 32, 512]",562
5,"[2, 2, 16, 32, 512]",564
5,"[4, 8, 8, 32, 512]",564
6,"[2, 2, 8, 8, 32, 512]",564
6,"[4, 4, 4, 8, 32, 512]",564
5,"[2, 4, 16, 32, 512]",566
6,"[2, 4, 8, 8, 32, 512]",566
5,"[4, 4, 16, 32, 512]",568
6,"[2, 2, 4, 16, 32, 512]",568
6,"[4, 4, 8, 8, 32, 512]",568
5,"[2, 8, 16, 32, 512]",570
6,"[2, 4, 4, 16, 32, 512]",570
5,"[4, 8, 16, 32, 512]",572
6,"[2, 2, 8, 16, 32, 512]",572
6,"[4, 4, 4, 16, 32, 512]",572
6,"[2, 4, 8, 16, 32, 512]",574
6,"[4, 4, 8, 16, 32, 512]",576
7,"[2, 2, 4, 8, 16, 32, 512]",576
6,"[2, 8, 8, 16, 32, 512]",578
7,"[2, 4, 4, 8, 16, 32, 512]",578
6,"[2, 2, 16, 16, 32, 512]",580
6,"[4, 8, 8, 16, 32, 512]",580
7,"[2, 2, 8, 8, 16, 32, 512]",580
7,"[4, 4, 4, 8, 16, 32, 512]",580
5,"[2, 4, 32, 32, 512]",582
6,"[2, 4, 16, 16, 32, 512]",582
7,"[2, 4, 8, 8, 16, 32, 512]",582
5,"[2, 2, 4, 64, 512]",584
5,"[4, 4, 32, 32, 512]",584
6,"[2, 2, 4, 32, 32, 512]",584
6,"[4, 4, 16, 16, 32, 512]",584
7,"[2, 2, 4, 16, 16, 32, 512]",584
7,"[4, 4, 8, 8, 16, 32, 512]",584
4,"[2, 8, 64, 512]",586
5,"[2, 4, 4, 64, 512]",586
5,"[2, 8, 32, 32, 512]",586
6,"[2, 4, 4, 32, 32, 512]",586
6,"[2, 8, 16, 16, 32, 512]",586
7,"[2, 4, 4, 16, 16, 32, 512]",586
4,"[4, 8, 64, 512]",588
5,"[2, 2, 8, 64, 512]",588
5,"[4, 4, 4, 64, 512]",588
5,"[4, 8, 32, 32, 512]",588
6,"[2, 2, 8, 32, 32, 512]",588
6,"[4, 4, 4, 32, 32, 512]",588
6,"[4, 8, 16, 16, 32, 512]",588
5,"[2, 4, 8, 64, 512]",590
6,"[2, 4, 8, 32, 32, 512]",590
5,"[4, 4, 8, 64, 512]",592
6,"[2, 2, 4, 8, 64, 512]",592
6,"[4, 4, 8, 32, 32, 512]",592
5,"[2, 8, 8, 64, 512]",594
6,"[2, 4, 4, 8, 64, 512]",594
5,"[2, 2, 16, 64, 512]",596
5,"[4, 8, 8, 64, 512]",596
6,"[2, 2, 8, 8, 64, 512]",596
6,"[4, 4, 4, 8, 64, 512]",596
5,"[2, 4, 16, 64, 512]",598
6,"[2, 4, 8, 8, 64, 512]",598
5,"[4, 4, 16, 64, 512]",600
6,"[2, 2, 4, 16, 64, 512]",600
6,"[4, 4, 8, 8, 64, 512]",600
5,"[2, 8, 16, 64, 512]",602
6,"[2, 4, 4, 16, 64, 512]",602
5,"[4, 8, 16, 64, 512]",604
6,"[2, 2, 8, 16, 64, 512]",604
6,"[4, 4, 4, 16, 64, 512]",604
6,"[2, 4, 8, 16, 64, 512]",606
6,"[4, 4, 8, 16, 64, 512]",608
7,"[2, 2, 4, 8, 16, 64, 512]",608
6,"[2, 8, 8, 16, 64, 512]",610
7,"[2, 4, 4, 8, 16, 64, 512]",610
6,"[2, 2, 16, 16, 64, 512]",612
6,"[4, 8, 8, 16, 64, 512]",612
7,"[2, 2, 8, 8, 16, 64, 512]",612
7,"[4, 4, 4, 8, 16, 64, 512]",612
5,"[2, 4, 32, 64, 512]",614
6,"[2, 4, 16, 16, 64, 512]",614
7,"[2, 4, 8, 8, 16, 64, 512]",614
5,"[4, 4, 32, 64, 512]",616
6,"[2, 2, 4, 32, 64, 512]",616
6,"[4, 4, 16, 16, 64, 512]",616
7,"[2, 2, 4, 16, 16, 64, 512]",616
7,"[4, 4, 8, 8, 16, 64, 512]",616
5,"[2, 8, 32, 64, 512]",618
6,"[2, 4, 4, 32, 64, 512]",618
6,"[2, 8, 16, 16, 64, 512]",618
7,"[2, 4, 4, 16, 16, 64, 512]",618
5,"[4, 8, 32, 64, 512]",620
6,"[2, 2, 8, 32, 64, 512]",620
6,"[4, 4, 4, 32, 64, 512]",620
6,"[4, 8, 16, 16, 64, 512]",620
6,"[2, 4, 8, 32, 64, 512]",622
6,"[4, 4, 8, 32, 64, 512]",624
7,"[2, 2, 4, 8, 32, 64, 512]",624
6,"[2, 8, 8, 32, 64, 512]",626
7,"[2, 4, 4, 8, 32, 64, 512]",626
6,"[2, 2, 16, 32, 64, 512]",628
6,"[4, 8, 8, 32, 64, 512]",628
7,"[2, 2, 8, 8, 32, 64, 512]",628
7,"[4, 4, 4, 8, 32, 64, 512]",628
6,"[2, 4, 16, 32, 64, 512]",630
7,"[2, 4, 8, 8, 32, 64, 512]",630
6,"[4, 4, 16, 32, 64, 512]",632
7,"[2, 2, 4, 16, 32, 64, 512]",632
7,"[4, 4, 8, 8, 32, 64, 512]",632
6,"[2, 8, 16, 32, 64, 512]",634
7,"[2, 4, 4, 16, 32, 64, 512]",634
6,"[4, 8, 16, 32, 64, 512]",636
7,"[2, 2, 8, 16, 32, 64, 512]",636
7,"[4, 4, 4, 16, 32, 64, 512]",636
7,"[2, 4, 8, 16, 32, 64, 512]",638
7,"[4, 4, 8, 16, 32, 64, 512]",640
8,"[2, 2, 4, 8, 16, 32, 64, 512]",640
7,"[2, 8, 8, 16, 32, 64, 512]",642
8,"[2, 4, 4, 8, 16, 32, 64, 512]",642
7,"[2, 2, 16, 16, 32, 64, 512]",644
7,"[4, 8, 8, 16, 32, 64, 512]",644
8,"[2, 2, 8, 8, 16, 32, 64, 512]",644
8,"[4, 4, 4, 8, 16, 32, 64, 512]",644
6,"[2, 4, 32, 32, 64, 512]",646
7,"[2, 4, 16, 16, 32, 64, 512]",646
8,"[2, 4, 8, 8, 16, 32, 64, 512]",646
6,"[2, 2, 4, 64, 64, 512]",648
6,"[4, 4, 32, 32, 64, 512]",648
7,"[2, 2, 4, 32, 32, 64, 512]",648
7,"[4, 4, 16, 16, 32, 64, 512]",648
8,"[2, 2, 4, 16, 16, 32, 64, 512]",648
8,"[4, 4, 8, 8, 16, 32, 64, 512]",648
5,"[2, 4, 4, 128, 512]",650
5,"[2, 8, 64, 64, 512]",650
6,"[2, 4, 4, 64, 64, 512]",650
6,"[2, 8, 32, 32, 64, 512]",650
7,"[2, 4, 4, 32, 32, 64, 512]",650
7,"[2, 8, 16, 16, 32, 64, 512]",650
8,"[2, 4, 4, 16, 16, 32, 64, 512]",650
5,"[2, 2, 8, 128, 512]",652
5,"[4, 4, 4, 128, 512]",652
5,"[4, 8, 64, 64, 512]",652
6,"[2, 2, 8, 64, 64, 512]",652
6,"[4, 4, 4, 64, 64, 512]",652
6,"[4, 8, 32, 32, 64, 512]",652
7,"[2, 2, 8, 32, 32, 64, 512]",652
7,"[4, 4, 4, 32, 32, 64, 512]",652
7,"[4, 8, 16, 16, 32, 64, 512]",652
5,"[2, 4, 8, 128, 512]",654
6,"[2, 4, 8, 64, 64, 512]",654
7,"[2, 4, 8, 32, 32, 64, 512]",654
5,"[4, 4, 8, 128, 512]",656
6,"[2, 2, 4, 8, 128, 512]",656
6,"[4, 4, 8, 64, 64, 512]",656
7,"[2, 2, 4, 8, 64, 64, 512]",656
7,"[4, 4, 8, 32, 32, 64, 512]",656
5,"[2, 8, 8, 128, 512]",658
6,"[2, 4, 4, 8, 128, 512]",658
6,"[2, 8, 8, 64, 64, 512]",658
7,"[2, 4, 4, 8, 64, 64, 512]",658
5,"[2, 2, 16, 128, 512]",660
5,"[4, 8, 8, 128, 512]",660
6,"[2, 2, 8, 8, 128, 512]",660
6,"[4, 4, 4, 8, 128, 512]",660
6,"[4, 8, 8, 64, 64, 512]",660
5,"[2, 4, 16, 128, 512]",662
6,"[2, 4, 8, 8, 128, 512]",662
5,"[4, 4, 16, 128, 512]",664
6,"[2, 2, 4, 16, 128, 512]",664
6,"[4, 4, 8, 8, 128, 512]",664
5,"[2, 8, 16, 128, 512]",666
6,"[2, 4, 4, 16, 128, 512]",666
5,"[4, 8, 16, 128, 512]",668
6,"[2, 2, 8, 16, 128, 512]",668
6,"[4, 4, 4, 16, 128, 512]",668
6,"[2, 4, 8, 16, 128, 512]",670
6,"[4, 4, 8, 16, 128, 512]",672
7,"[2, 2, 4, 8, 16, 128, 512]",672
6,"[2, 8, 8, 16, 128, 512]",674
7,"[2, 4, 4, 8, 16, 128, 512]",674
6,"[2, 2, 16, 16, 128, 512]",676
6,"[4, 8, 8, 16, 128, 512]",676
7,"[2, 2, 8, 8, 16, 128, 512]",676
7,"[4, 4, 4, 8, 16, 128, 512]",676
5,"[2, 4, 32, 128, 512]",678
6,"[2, 4, 16, 16, 128, 512]",678
7,"[2, 4, 8, 8, 16, 128, 512]",678
5,"[4, 4, 32, 128, 512]",680
6,"[2, 2, 4, 32, 128, 512]",680
6,"[4, 4, 16, 16, 128, 512]",680
7,"[2, 2, 4, 16, 16, 128, 512]",680
7,"[4, 4, 8, 8, 16, 128, 512]",680
5,"[2, 8, 32, 128, 512]",682
6,"[2, 4, 4, 32, 128, 512]",682
6,"[2, 8, 16, 16, 128, 512]",682
7,"[2, 4, 4, 16, 16, 128, 512]",682
5,"[4, 8, 32, 128, 512]",684
6,"[2, 2, 8, 32, 128, 512]",684
6,"[4, 4, 4, 32, 128, 512]",684
6,"[4, 8, 16, 16, 128, 512]",684
6,"[2, 4, 8, 32, 128, 512]",686
6,"[4, 4, 8, 32, 128, 512]",688
7,"[2, 2, 4, 8, 32, 128, 512]",688
6,"[2, 8, 8, 32, 128, 512]",690
7,"[2, 4, 4, 8, 32, 128, 512]",690
6,"[2, 2, 16, 32, 128, 512]",692
6,"[4, 8, 8, 32, 128, 512]",692
7,"[2, 2, 8, 8, 32, 128, 512]",692
7,"[4, 4, 4, 8, 32, 128, 512]",692
6,"[2, 4, 16, 32, 128, 512]",694
7,"[2, 4, 8, 8, 32, 128, 512]",694
6,"[4, 4, 16, 32, 128, 512]",696
7,"[2, 2, 4, 16, 32, 128, 512]",696
7,"[4, 4, 8, 8, 32, 128, 512]",696
6,"[2, 8, 16, 32, 128, 512]",698
7,"[2, 4, 4, 16, 32, 128, 512]",698
6,"[4, 8, 16, 32, 128, 512]",700
7,"[2, 2, 8, 16, 32, 128, 512]",700
7,"[4, 4, 4, 16, 32, 128, 512]",700
7,"[2, 4, 8, 16, 32, 128, 512]",702
7,"[4, 4, 8, 16, 32, 128, 512]",704
8,"[2, 2, 4, 8, 16, 32, 128, 512]",704
7,"[2, 8, 8, 16, 32, 128, 512]",706
8,"[2, 4, 4, 8, 16, 32, 128, 512]",706
7,"[2, 2, 16, 16, 32, 128, 512]",708
7,"[4, 8, 8, 16, 32, 128, 512]",708
8,"[2, 2, 8, 8, 16, 32, 128, 512]",708
8,"[4, 4, 4, 8, 16, 32, 128, 512]",708
6,"[2, 4, 32, 32, 128, 512]",710
7,"[2, 4, 16, 16, 32, 128, 512]",710
8,"[2, 4, 8, 8, 16, 32, 128, 512]",710
6,"[2, 2, 4, 64, 128, 512]",712
6,"[4, 4, 32, 32, 128, 512]",712
7,"[2, 2, 4, 32, 32, 128, 512]",712
7,"[4, 4, 16, 16, 32, 128, 512]",712
8,"[2, 2, 4, 16, 16, 32, 128, 512]",712
8,"[4, 4, 8, 8, 16, 32, 128, 512]",712
5,"[2, 8, 64, 128, 512]",714
6,"[2, 4, 4, 64, 128, 512]",714
6,"[2, 8, 32, 32, 128, 512]",714
7,"[2, 4, 4, 32, 32, 128, 512]",714
7,"[2, 8, 16, 16, 32, 128, 512]",714
8,"[2, 4, 4, 16, 16, 32, 128, 512]",714
5,"[4, 8, 64, 128, 512]",716
6,"[2, 2, 8, 64, 128, 512]",716
6,"[4, 4, 4, 64, 128, 512]",716
6,"[4, 8, 32, 32, 128, 512]",716
7,"[2, 2, 8, 32, 32, 128, 512]",716
7,"[4, 4, 4, 32, 32, 128, 512]",716
7,"[4, 8, 16, 16, 32, 128, 512]",716
6,"[2, 4, 8, 64, 128, 512]",718
7,"[2, 4, 8, 32, 32, 128, 512]",718
6,"[4, 4, 8, 64, 128, 512]",720
7,"[2, 2, 4, 8, 64, 128, 512]",720
7,"[4, 4, 8, 32, 32, 128, 512]",720
6,"[2, 8, 8, 64, 128, 512]",722
7,"[2, 4, 4, 8, 64, 128, 512]",722
6,"[2, 2, 16, 64, 128, 512]",724
6,"[4, 8, 8, 64, 128, 512]",724
7,"[2, 2, 8, 8, 64, 128, 512]",724
7,"[4, 4, 4, 8, 64, 128, 512]",724
6,"[2, 4, 16, 64, 128, 512]",726
7,"[2, 4, 8, 8, 64, 128, 512]",726
6,"[4, 4, 16, 64, 128, 512]",728
7,"[2, 2, 4, 16, 64, 128, 512]",728
7,"[4, 4, 8, 8, 64, 128, 512]",728
6,"[2, 8, 16, 64, 128, 512]",730
7,"[2, 4, 4, 16, 64, 128, 512]",730
6,"[4, 8, 16, 64, 128, 512]",732
7,"[2, 2, 8, 16, 64, 128, 512]",732
7,"[4, 4, 4, 16, 64, 128, 512]",732
7,"[2, 4, 8, 16, 64, 128, 512]",734
7,"[4, 4, 8, 16, 64, 128, 512]",736
8,"[2, 2, 4, 8, 16, 64, 128, 512]",736
7,"[2, 8, 8, 16, 64, 128, 512]",738
8,"[2, 4, 4, 8, 16, 64, 128, 512]",738
7,"[2, 2, 16, 16, 64, 128, 512]",740
7,"[4, 8, 8, 16, 64, 128, 512]",740
8,"[2, 2, 8, 8, 16, 64, 128, 512]",740
8,"[4, 4, 4, 8, 16, 64, 128, 512]",740
